k;New cases (True);Nowcasting;reported cases;delayed;true R
317;388;388;388;466;1.00
318;388;388;388;427;1.00
319;388;388;388;310;1.00
320;388;388;388;466;1.00
321;388;388;388;310;1.00
322;388;388;388;388;1.00
323;388;388;388;349;1.00
324;388;388;388;466;1.00
325;388;388;388;427;1.00
326;388;388;388;310;1.00
327;388;388;388;466;1.00
328;388;388;388;310;1.00
329;388;388;388;388;1.00
330;388;388;388;349;1.00
331;388;388;388;466;1.00
332;388;388;388;427;1.00
333;388;388;388;310;1.00
334;388;388;388;466;1.00
335;388;388;388;310;1.00
336;388;388;388;388;1.00
337;388;388;388;349;1.00
338;388;388;388;466;1.00
339;388;388;388;427;1.00
340;388;388;388;310;1.00
341;388;388;388;466;1.00
342;388;388;388;310;1.00
343;388;388;388;388;1.00
344;388;388;388;349;1.00
345;388;388;388;466;1.00
346;388;388;388;427;1.00
347;388;388;388;310;1.00
348;388;388;388;466;1.00
349;388;388;388;310;1.00
350;388;388;388;388;1.00
351;388;388;388;349;1.00
352;388;388;388;466;1.00
353;388;388;388;427;1.00
354;388;388;388;310;1.00
355;388;388;388;466;1.00
356;388;388;388;310;1.00
357;388;388;388;388;1.00
358;388;388;388;349;1.00
359;388;388;388;466;1.00
360;388;388;388;427;1.00
361;388;388;388;310;1.00
362;388;388;388;466;1.00
363;388;388;388;310;1.00
364;388;388;388;388;1.00
365;388;388;388;349;1.00
366;388;388;388;466;1.00
367;388;388;388;427;1.00
368;388;388;388;310;1.00
369;388;388;388;466;1.00
370;388;388;388;310;1.00
371;388;388;388;388;1.00
372;388;388;388;349;1.00
373;388;388;388;466;1.00
374;388;388;388;427;1.00
375;388;388;388;310;1.00
376;388;388;388;466;1.00
377;388;388;388;310;1.00
378;388;388;388;388;1.00
379;388;388;388;349;1.00
380;388;388;388;466;1.00
381;388;388;388;427;1.00
382;388;388;388;310;1.00
383;388;388;388;466;1.00
384;388;388;388;310;1.00
385;388;388;388;388;1.00
386;388;388;388;349;1.00
387;388;388;388;466;1.00
388;388;388;388;427;1.00
389;388;388;388;310;1.00
390;388;388;388;466;1.00
391;388;388;388;310;1.00
392;388;388;388;388;1.00
393;388;388;388;349;1.00
394;388;388;388;466;1.00
395;388;388;388;427;1.00
396;388;388;388;310;1.00
397;388;388;388;466;1.00
398;388;388;388;310;1.00
399;388;388;388;388;1.00
400;388;388;388;349;1.00
401;388;388;388;466;1.00
402;388;388;388;427;1.00
403;388;388;388;310;1.00
404;388;388;388;466;1.00
405;388;388;388;310;1.00
406;388;388;388;388;1.00
407;388;388;388;349;1.00
408;388;388;388;466;1.00
409;388;388;388;427;1.00
410;388;388;388;310;1.00
411;388;388;388;466;1.00
412;388;388;388;310;1.00
413;388;388;388;388;1.00
414;388;388;388;349;1.00
415;388;388;388;466;1.00
416;388;388;388;427;1.00
417;388;388;388;310;1.00
418;388;388;388;466;1.00
419;388;388;388;310;1.00
420;388;388;388;388;1.00
421;388;388;388;349;1.00
422;388;388;388;466;1.00
423;388;388;388;427;1.00
424;388;388;388;310;1.00
425;388;388;388;466;1.00
426;388;388;388;310;1.00
427;388;388;388;388;1.00
428;388;388;388;349;1.00
429;388;388;388;466;1.00
430;388;388;388;427;1.00
431;388;388;388;310;1.00
432;388;388;388;466;1.00
433;388;388;388;310;1.00
434;388;388;388;388;1.00
435;388;388;388;349;1.00
436;388;388;388;466;1.00
437;388;388;388;427;1.00
438;388;388;388;310;1.00
439;388;388;388;466;1.00
440;388;388;388;310;1.00
441;388;388;388;388;1.00
442;388;388;388;349;1.00
443;388;388;388;466;1.00
444;388;388;388;427;1.00
445;388;388;388;310;1.00
446;388;388;388;466;1.00
447;388;388;388;310;1.00
448;388;388;388;388;1.00
449;388;388;388;349;1.00
450;388;388;388;466;1.00
451;388;388;388;427;1.00
452;388;388;388;310;1.00
453;388;388;388;466;1.00
454;388;388;388;310;1.00
455;388;388;388;388;1.00
456;388;388;388;349;1.00
457;388;388;388;466;1.00
458;388;388;388;427;1.00
459;388;388;388;310;1.00
460;388;388;388;466;1.00
461;388;388;388;310;1.00
462;388;388;388;388;1.00
463;388;388;388;349;1.00
464;388;388;388;466;1.00
465;388;388;388;427;1.00
466;388;388;388;310;1.00
467;388;388;388;466;1.00
468;388;388;388;310;1.00
469;388;388;388;388;1.00
470;388;388;388;349;1.00
471;388;388;388;466;1.00
472;388;388;388;427;1.00
473;388;388;388;310;1.00
474;388;388;388;466;1.00
475;388;388;388;310;1.00
476;388;388;388;388;1.00
477;388;388;388;349;1.00
478;388;388;388;466;1.00
479;388;388;388;427;1.00
480;388;388;388;310;1.00
481;388;388;388;466;1.00
482;388;388;388;310;1.00
483;388;388;388;388;1.00
484;388;388;388;349;1.00
485;388;388;388;466;1.00
486;388;388;388;427;1.00
487;388;388;388;310;1.00
488;388;388;388;466;1.00
489;388;388;388;310;1.00
490;388;388;388;388;1.00
491;388;388;388;349;1.00
492;388;388;388;466;1.00
493;388;388;388;427;1.00
494;388;388;388;310;1.00
495;388;388;388;466;1.00
496;388;388;388;310;1.00
497;388;388;388;388;1.00
498;388;388;388;349;1.00
499;388;388;388;466;1.00
500;388;388;388;427;1.00
